,Article 1,Article 2,Corr.
720,"One_country,_two_systems",Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.42104806262302585
158,2019_Yuen_Long_attack,Hong_Kong,0.4197629746504837
504,HKmap.live,Police_misconduct_allegations_during_the_2019–20_Hong_Kong_protests,0.41766864092773137
194,2019–20_Hong_Kong_protests,Hong_Kong_Way,0.4167240128849016
377,Death_of_Chan_Yin-lam,List_of_March–June_2019_Hong_Kong_protests,0.41616457292618575
577,Hong_Kong_Way,List_of_October_2019_Hong_Kong_protests,0.41608633018511954
30,12_June_2019_Hong_Kong_protest,Murder_of_Poon_Hiu-wing,0.4160609840220656
629,List_of_August_2019_Hong_Kong_protests,"One_country,_two_systems",0.4158516875425284
154,2019_Yuen_Long_attack,Demosistō,0.4155111478130071
23,12_June_2019_Hong_Kong_protest,List_of_December_2019_Hong_Kong_protests,0.41485229050335726
2,12_June_2019_Hong_Kong_protest,2019_Prince_Edward_station_attack,0.41271679592677674
28,12_June_2019_Hong_Kong_protest,List_of_protests_in_Hong_Kong,0.4123334891693753
385,Death_of_Chan_Yin-lam,Reactions_to_the_2019–20_Hong_Kong_protests,0.4118243607970288
505,HKmap.live,Reactions_to_the_2019–20_Hong_Kong_protests,0.4112875087039357
24,12_June_2019_Hong_Kong_protest,List_of_July_2019_Hong_Kong_protests,0.40731364531026965
627,List_of_August_2019_Hong_Kong_protests,List_of_September_2019_Hong_Kong_protests,0.4072988763441522
169,2019_Yuen_Long_attack,List_of_October_2019_Hong_Kong_protests,0.40687598163543137
360,Civil_Human_Rights_Front,Storming_of_the_Legislative_Council_Complex,0.40622982615442454
148,2019_Yuen_Long_attack,Carrie_Lam,0.4034411554048135
420,Demosistō,Hong_Kong_1_July_marches,0.39768865407265774
454,Glory_to_Hong_Kong,List_of_October_2019_Hong_Kong_protests,0.3960764258280534
406,Death_of_Chow_Tsz-lok,List_of_protests_in_Hong_Kong,0.3956081500873238
119,2019_Prince_Edward_station_attack,Death_of_Chow_Tsz-lok,0.39517173275313694
402,Death_of_Chow_Tsz-lok,List_of_July_2019_Hong_Kong_protests,0.3905622694576431
116,2019_Prince_Edward_station_attack,Chinese_University_of_Hong_Kong_conflict,0.3898047114199141
614,Lennon_Wall_(Hong_Kong),"One_country,_two_systems",0.3895228630737531
401,Death_of_Chow_Tsz-lok,List_of_December_2019_Hong_Kong_protests,0.38644229975116884
321,Chinese_University_of_Hong_Kong_conflict,List_of_July_2019_Hong_Kong_protests,0.3857777188410736
428,Demosistō,List_of_March–June_2019_Hong_Kong_protests,0.38568877964755677
477,Government_of_Hong_Kong,List_of_October_2019_Hong_Kong_protests,0.384529403146692
502,HKmap.live,Murder_of_Poon_Hiu-wing,0.3837969795539398
408,Death_of_Chow_Tsz-lok,Murder_of_Poon_Hiu-wing,0.38353982839024076
117,2019_Prince_Edward_station_attack,Civil_Human_Rights_Front,0.3798627806555878
471,Government_of_Hong_Kong,Lennon_Wall_(Hong_Kong),0.3783552961744553
497,HKmap.live,List_of_March–June_2019_Hong_Kong_protests,0.3774588712884717
344,Civil_Human_Rights_Front,Hong_Kong_Way,0.37666893340073804
179,2019_Yuen_Long_attack,Umbrella_Movement,0.37573183615047157
427,Demosistō,List_of_July_2019_Hong_Kong_protests,0.3750723077951512
121,2019_Prince_Edward_station_attack,Glory_to_Hong_Kong,0.37469903984232306
14,12_June_2019_Hong_Kong_protest,Government_of_Hong_Kong,0.3728391718985659
159,2019_Yuen_Long_attack,Hong_Kong_1_July_marches,0.371249353366086
1,12_June_2019_Hong_Kong_protest,2019_Hong_Kong_local_elections,0.3711730637618055
83,2019_Hong_Kong_local_elections,Death_of_Chan_Yin-lam,0.36957208608222664
343,Civil_Human_Rights_Front,Hong_Kong_Human_Rights_and_Democracy_Act,0.3695417844746379
325,Chinese_University_of_Hong_Kong_conflict,List_of_protests_in_Hong_Kong,0.36807705566643395
